twitter_id,date,tweet
1546554958270586881,2022-07-11 18:00:10+00:00,b'\xd8\xa7\xd9\x84\xd8\xae\xd9\x88\xd9\x81 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xaf\xd9\x8a\xd8\xaf..\n\n#\xd8\xb7\xd8\xa7\xd8\xb1\xd9\x82_\xd8\xa7\xd9\x84\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8 https://t.co/fNjB9jzzFE'
1546534027682893824,2022-07-11 16:37:00+00:00,"b'RT @tdrebnews: \xf0\x9f\x8c\x9f\xd9\x85\xd8\xb1\xd9\x83\xd8\xb2 #\xd9\x85\xd8\xb7\xd9\x85\xd8\xa6\xd9\x86\xd8\xa9 \xd9\x84\xd9\x84\xd8\xaa\xd8\xaf\xd8\xb1\xd9\x8a\xd8\xa8\xf0\x9f\x8c\x9f\n\n\xd9\x8a\xd9\x84\xd8\xaa\xd9\x82\xd9\x8a \xd8\xa8\xd9\x83\xd9\x85 \xd9\x85\xd8\xb9 \xd8\xa3.\xd8\xaf. \xe2\x81\xa7#\xd8\xb7\xd8\xa7\xd8\xb1\xd9\x82_\xd8\xa7\xd9\x84\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8\xe2\x81\xa9\n\xd9\x81\xd9\x8a \xd8\xaf\xd9\x88\xd8\xb1\xd8\xa9\n ""\xd9\x81\xd9\x87\xd9\x85 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xae\xd8\xb5\xd9\x8a\xd8\xa7\xd8\xaa""\n\n\xd9\x8a\xd9\x88\xd9\x85 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xa8\xd8\xaa\n\xf0\x9f\x93\x8d\xd8\xad\xd8\xb6\xd9\x88\xd8\xb1\xd9\x8a \xd9\x81\xd9\x8a \xd9\x85\xd8\xb1\xd9\x83\xd8\xb2 \xd9\x85\xd8\xb7\xd9\x85\xd8\xa6\xd9\x86\xd8\xa9 #\xd8\xa7\xd9\x84\xd8\xb1\xd9\x8a\xd8\xa7\xd8\xb6\n\xd8\xaa\xd8\xa7\xe2\x80\xa6'"
1546514575373336590,2022-07-11 15:19:42+00:00,b'RT @Abdulmalikthh: #\xd8\xb9\xd8\xa8\xd8\xaf\xd8\xa7\xd9\x84\xd9\x85\xd9\x84\xd9\x83_\xd8\xa7\xd9\x84\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8\n#\xd8\xa7\xd8\xb3\xd8\xaa\xd8\xb4\xd8\xa7\xd8\xb1\xd8\xa7\xd8\xaa_\xd9\x82\xd8\xa7\xd9\x86\xd9\x88\xd9\x86\xd9\x8a\xd8\xa9\n\xd8\xa7\xd9\x84\xd9\x82\xd8\xa7\xd9\x83\xd9\x85 \xd9\x8a\xd9\x88\xd9\x85 \xd8\xa7\xd9\x84\xd8\xa7\xd8\xad\xd8\xaf \xd9\xa1\xd9\xa7/\xd9\xa0\xd9\xa7 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xa7\xd8\xb9\xd8\xa9 \xd9\xa8 \xd9\x85\xd8\xb3\xd8\xa7\xd8\xa1\xd9\x8b \xd8\xa8\xd8\xa7\xd8\xb0\xd9\x86 \xd9\x84\xd9\x84\xd9\x87 \n\xd9\x84\xd9\x84\xd8\xad\xd8\xac\xd8\xb2 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb3\xd8\xaa\xd9\x81\xd8\xb3\xd8\xa7\xd8\xb1 \xd8\xa7\xd9\x84\xd8\xaa\xd9\x88\xd8\xa7\xd8\xb5\xd9\x84 \xd8\xb9\xd9\x86 \xd8\xb7\xd8\xb1\xd9\x8a\xd9\x82 \xd8\xa7\xd9\x84\xd9\x88\xd8\xa7\xe2\x80\xa6'
1546358706111143937,2022-07-11 05:00:20+00:00,"b'\xd8\xa7\xd9\x84\xd8\xaa\xd9\x81\xd9\x83\xd9\x8a\xd8\xb1 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd9\x85\xd8\xb3\xd8\xaa\xd9\x82\xd8\xa8\xd9\x84 \xd9\x8a\xd9\x83\xd9\x88\xd9\x86 \xd8\xb6\xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xaa\xd8\xae\xd8\xb7\xd9\x8a\xd8\xb7 \xd8\xa7\xd9\x84\xd8\xac\xd9\x8a\xd8\xaf \xd9\x84\xd9\x87 , \xd9\x88\xd9\x84\xd9\x8a\xd8\xb3 \xd8\xa7\xd9\x84\xd9\x82\xd9\x84\xd9\x82 \xd8\xa7\xd9\x84\xd9\x85\xd8\xaa\xd8\xb7\xd8\xb1\xd9\x81 \xd8\xb9\xd9\x84\xd9\x8a\xd9\x87.\n\n#\xd8\xb7\xd8\xa7\xd8\xb1\xd9\x82_\xd8\xa7\xd9\x84\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8\n#\xd8\xb5\xd8\xa8\xd8\xa7\xd8\xad_\xd8\xa7\xd9\x84\xd8\xae\xd9\x8a\xd8\xb1'"
1546192741742297089,2022-07-10 18:00:51+00:00,b'\xd8\xa7\xd9\x84\xd9\x88\xd8\xb1\xd8\xa7\xd8\xab\xd8\xa9 \xd9\x88\xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd8\xb1\xd8\xa7\xd8\xb6 \xd8\xa7\xd9\x84\xd9\x86\xd9\x81\xd8\xb3\xd9\x8a\xd8\xa9..\nhttps://t.co/VnK3krviZL\n#\xd8\xb7\xd8\xa7\xd8\xb1\xd9\x82_\xd8\xa7\xd9\x84\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8'
1545996278399733761,2022-07-10 05:00:10+00:00,"b'\xd8\xa5\xd8\xaf\xd8\xa7\xd8\xb1\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xba\xd8\xb6\xd8\xa8 \xd9\x85\xd9\x86\xd8\xb8\xd9\x88\xd9\x85\xd8\xa9 \xd9\x85\xd9\x86 \xd8\xaa\xd8\xb9\xd8\xaf\xd9\x8a\xd9\x84 \xd8\xa7\xd9\x84\xd8\xa7\xd8\xaa\xd8\xac\xd8\xa7\xd9\x87\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd9\x85\xd8\xb9\xd8\xb1\xd9\x81\xd9\x8a\xd8\xa9 , \xd9\x88\xd8\xaa\xd9\x86\xd8\xb8\xd9\x8a\xd9\x85 \xd8\xa7\xd9\x84\xd8\xa7\xd9\x86\xd9\x81\xd8\xb9\xd8\xa7\xd9\x84\xd8\xa7\xd8\xaa \xd9\x88\xd8\xa8\xd8\xa7\xd9\x84\xd8\xaa\xd8\xa7\xd9\x84\xd9\x8a \xd8\xaa\xd8\xb9\xd8\xaf\xd9\x8a\xd9\x84 \xd8\xb1\xd8\xaf\xd9\x88\xd8\xaf \xd8\xa7\xd9\x84\xd8\xa3\xd9\x81\xd8\xb9\xd8\xa7\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb3\xd9\x84\xd9\x88\xd9\x83\xd9\x8a\xd8\xa9.\n\n#\xd8\xb7\xd8\xa7\xd8\xb1\xd9\x82_\xd8\xa7\xd9\x84\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8\n#\xd8\xb5\xd8\xa8\xd8\xa7\xd8\xad_\xd8\xa7\xd9\x84\xd8\xae\xd9\x8a\xd8\xb1'"
1545679425294983168,2022-07-09 08:01:06+00:00,b'#\xd8\xb7\xd8\xa7\xd8\xb1\xd9\x82_\xd8\xa7\xd9\x84\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8 https://t.co/5gbY8Ly9yu'
1545587981536444419,2022-07-09 01:57:45+00:00,b'\xd9\x83\xd9\x84 \xd8\xb9\xd8\xa7\xd9\x85 \xd9\x88\xd9\x86\xd9\x81\xd9\x88\xd8\xb3\xd9\x83\xd9\x85 \xd9\x85\xd8\xb7\xd9\x85\xd8\xa6\xd9\x86\xd9\x87 #\xd8\xb7\xd8\xa7\xd8\xb1\xd9\x82_\xd8\xa7\xd9\x84\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8'
1545484866220949505,2022-07-08 19:08:00+00:00,b'RT @Abdulmalikthh: https://t.co/iR10XqmDJc'
1545453676558487552,2022-07-08 17:04:04+00:00,b'#\xd9\x83\xd9\x84_\xd8\xb9\xd8\xa7\xd9\x85_\xd9\x88\xd8\xa7\xd9\x86\xd8\xaa\xd9\x85_\xd8\xa8\xd8\xae\xd9\x8a\xd8\xb1 \xe2\x9c\xa8..\n\xd9\x8a\xd9\x86\xd8\xb9\xd8\xa7\xd8\xaf \xd8\xb9\xd9\x84\xd9\x8a\xd9\x86\xd8\xa7 \xd9\x88\xd8\xb9\xd9\x84\xd9\x8a\xd9\x83\xd9\x85 \xd8\xa8\xd8\xa7\xd9\x84\xd8\xb5\xd9\x91\xd8\xad\xd9\x91\xd8\xa9 \xd9\x88\xd8\xa7\xd9\x84\xd8\xb3\xd9\x91\xd9\x84\xd8\xa7\xd9\x85\xd8\xa9.\n\n#\xd8\xb7\xd8\xa7\xd8\xb1\xd9\x82_\xd8\xa7\xd9\x84\xd8\xad\xd8\xa8\xd9\x8a\xd8\xa8\n#\xd8\xb9\xd9\x8a\xd8\xaf_\xd8\xa7\xd9\x84\xd8\xa7\xd8\xb6\xd8\xad\xd9\x89 https://t.co/thACGhL8po'
