twitter_id,date,tweet
1532037577661788160,2022-06-01 16:33:17+00:00,b'If you can. please help my dear friend. https://t.co/HKp9Hwcc91'
1530245169865404417,2022-05-27 17:50:53+00:00,"b'What a difference a year can make! If U would have told me 365 days ago that I would B sober, happy &amp; about 2 B a mumma I would have laughed in UR face.  Life is truly amazing when U do the work.  Thank you 2 everyone that has supported me on this journey. I love U all so much! https://t.co/jGV1ypBtRj'"
1529526381327032320,2022-05-25 18:14:41+00:00,b'I hope @GregAbbott_TX is thinking of the 19 children who lost their lives while he is speaking on behalf of the #NRA this weekend.  Just to be clear I suffer from mental health. This is NOT just about mental health. THIS IS ABOUT GUN CONTROL!!!!!!!! https://t.co/mU6VePQeBp'
1527046687356616704,2022-05-18 22:01:16+00:00,b'Thank you #LAPD and @AskLyft for helping us track down the clothes.'
1527025716222517248,2022-05-18 20:37:56+00:00,b'RT @KellyOsbourne: @lyft @AskLyft EMERGENCY!!!! One of your drivers just knowingly drove off with all of my dads cloths in the back seat of\xe2\x80\xa6'
1527023769746780160,2022-05-18 20:30:12+00:00,b'@lyft @AskLyft EMERGENCY!!!! One of your drivers just knowingly drove off with all of my dads cloths in the back seat of her car. We can\xe2\x80\x99t reach her or you. Please contact me immediately. We are calling the police right now!'
1455931761989279751,2021-11-03 16:15:56+00:00,"b'I just saw #SPENCER starring Kristen Stewart as Princess Diana and loved it. Kristen is simply incredible. To celebrate its opening in theaters Friday, I\xe2\x80\x99m giving away these sweatshirts because IYKYK. For a chance to win, RT and follow @spencer_movie. We\xe2\x80\x99ll DM winners next week. https://t.co/uGFiaihhz2'"
1401623781446098948,2021-06-06 19:35:25+00:00,b'Had the most amazing time rediscovering @TerraneaResort so close to home. Hope to return soon for another wonderful getaway. #Terranea https://t.co/UsoXfd1kHc'
1400588353104404485,2021-06-03 23:00:59+00:00,b'She got #vaccinated!!!! Bring on that alien DNA \xf0\x9f\x91\x85\xf0\x9f\x91\xbd\xf0\x9f\x9b\xb8 https://t.co/zYx4KwWLNT'
1396932961975603204,2021-05-24 20:55:46+00:00,b'Let\xe2\x80\x99s squash these stupid rumours!!! Can\xe2\x80\x99t you just be happy for me? https://t.co/KKs475r8qu'
1396211603935219712,2021-05-22 21:09:21+00:00,b'Suns out buns out \xf0\x9f\x91\x85 https://t.co/e3ZrfbNOea'
1395468767723982856,2021-05-20 19:57:35+00:00,b'We run on purple time!!! \xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c https://t.co/R39G9qg8ah'
1394767799566749697,2021-05-18 21:32:11+00:00,b'If there\xe2\x80\x99s anyone who knows how to seize the moment it\xe2\x80\x99s the Jordan Belfort the real @wolfofwallst. Click https://t.co/UMCNE2hbXV to listen to this week\xe2\x80\x99s episode to hear what changes he sees for the post-pandemic world! @jeffbeacher #KOJB'
1394396336770801665,2021-05-17 20:56:07+00:00,b'RT @PodcastOne: @KellyOsbourne and @jeffbeacher talk about their weight loss journey on their podcast this week. Get inspired here &gt;&gt; https\xe2\x80\xa6'
1394319858687488002,2021-05-17 15:52:14+00:00,b'Just posted a photo https://t.co/HBhvBvsYmi'
1392864955213352960,2021-05-13 15:30:58+00:00,"b""Half My Size -  Kelly &amp; Jeff's Weight Loss Journey https://t.co/7qcb1x0Vmg via @YouTube #Subscribetomychannel"""
1392863676101656583,2021-05-13 15:25:53+00:00,b'RT @PodcastOne: All lit up \xe2\x9c\xa8 https://t.co/x2piBr34Wc'
1392863475362267138,2021-05-13 15:25:05+00:00,b'We are talking all about what Jeff and I did to loose weight!!! Subscribe to our podcast by clicking the link in my bio. What you call freaks we call family everyone is welcome!!!!!! https://t.co/ZzyOU8wBcM'
1391857953318178821,2021-05-10 20:49:30+00:00,b'Omg I need this is my life... you are sooooooo right!!!! https://t.co/8W9yriDP0F'
1391477207340486659,2021-05-09 19:36:33+00:00,b'RT @OzzyOsbourne: Check out @KellyOsbourne\xe2\x80\x99s new podcast\nhttps://t.co/PgV7rmhFZ3'
1390861116167839746,2021-05-08 02:48:25+00:00,b'Change can be a beautiful thing!!!#changeisgolden https://t.co/Kf3EpSrz6N'
1390440954465718274,2021-05-06 22:58:51+00:00,b'RT @TheBiancaDelRio: On this week\xe2\x80\x99s episode of \nTHE BIANCA DEL RIO PODCAST is the SINGING FASHIONISTA @KellyOsbourne \xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95\xf0\x9f\x92\x95 \nIT\xe2\x80\x99S OUT NOW! @\xe2\x80\xa6'
1390435500876513282,2021-05-06 22:37:11+00:00,b'I feel snatched!!!! \xf0\x9f\x92\x9c https://t.co/HAnImtKM1N'
1390347742749368329,2021-05-06 16:48:27+00:00,b'I\xe2\x80\x99m on @thebiancadelrio podcast this week!!!! I\xe2\x80\x99m fucking obsessed! Check it out where ever you stream your podcasts from!!!! https://t.co/3IhnC2TXYO'
1390145885263175680,2021-05-06 03:26:21+00:00,b'RT @coachmikebayer: Such a great time catching up with @KellyOsbourne  proud of you! https://t.co/f8HK69XyHK'
1389993769441775619,2021-05-05 17:21:54+00:00,b'Thank you so much \xf0\x9f\x92\x9c https://t.co/3GK7unTm03'
1389676262839435270,2021-05-04 20:20:14+00:00,b'I\xe2\x80\x99m dying to know what you think of our first episode! CLICK THE LINK IN MY BIO listen and let me know. What you call freaks we call family EVERYONE is welcome!!! \xf0\x9f\x92\x9c https://t.co/RzMAQAzGKw'
1389659607077818368,2021-05-04 19:14:03+00:00,b'Thank you dad \xf0\x9f\x92\x9c\xf0\x9f\x98\x82 https://t.co/dXYD3g4GOC'
1389659485472313348,2021-05-04 19:13:34+00:00,b'#NewProfilePic https://t.co/j8MNpWcjtI'
1389658176996265985,2021-05-04 19:08:22+00:00,"b'RT @dailyblastlive: . @KellyOsbourne slammed critics of @BillieEilish\xe2\x80\x99s @BritishVogue cover shoot and called Eilish\xe2\x80\x99s fans \xe2\x80\x9cselfish,\xe2\x80\x9d durin\xe2\x80\xa6'"
1389627570967048196,2021-05-04 17:06:45+00:00,b'Never miss an episode! Listen here and tell us what you think! \xc2\xa0https://t.co/CiE7T9sZ8m'
1389624137753055237,2021-05-04 16:53:07+00:00,b'My first podcast is out today go check it out!!!  https://t.co/j7uPrGZzXL'
1389279392086388738,2021-05-03 18:03:13+00:00,"b""RT @dailyblastlive: \xf0\x9f\x94\xb4 DBL is STREAMING NOW\n\nTODAY: We're talking about #VaxLive ... a #throuple of three dads and a baby ... the 'problemat\xe2\x80\xa6"""
1389250482187554819,2021-05-03 16:08:20+00:00,b'It was soooo good to catch up!!!! Thank you for having me on your podcast. \xf0\x9f\x92\x9c https://t.co/moe2XYyx0d'
1389234142408290310,2021-05-03 15:03:24+00:00,"b'Hey everyone, make sure to follow @knockindoorzdown and check out the podcast I did regarding my sobriety as well as many other great and inspiring topics! It\xe2\x80\x99s available now! https://t.co/UaTCajYJZv'"
1388143286741655554,2021-04-30 14:48:44+00:00,b'RT @KDDMediaCompany: @KellyOsbourne opens up about her recent relapse and uncertainty of being able to stay sober. Listen or watch and enjo\xe2\x80\xa6'
1386049921069895680,2021-04-24 20:10:27+00:00,b'RT @KDDMediaCompany: @shepodcasts Sometimes we travel to do interviews https://t.co/3bxsd0NW7Z'
1386049862009974796,2021-04-24 20:10:13+00:00,"b""RT @BrianParticelli: Who else wants a 20-year anniversary performance of Papa Don't Preach from @KellyOsbourne? @jeffbeacher, make it happe\xe2\x80\xa6"""
1386049673752768512,2021-04-24 20:09:28+00:00,"b""Moment police officer PUNCHES Springer Spaniel puppy four times in his garden and yells 'you little b******' after it went to toilet on his carpet\nvia https://t.co/XOC2cQ408B https://t.co/H4F8molFAE"""
1384909036005568518,2021-04-21 16:36:59+00:00,b'New hair!! New outlook!! \xf0\x9f\x92\x9c\xf0\x9f\xa4\x94 https://t.co/xs9C7V5CTp'
1384671747698532352,2021-04-21 00:54:05+00:00,b'Thank you god!!! #Justice #accountability https://t.co/AmRhfKxTlF'
1384609575161110531,2021-04-20 20:47:02+00:00,b'She\xe2\x80\x99s back!!!!! Let\xe2\x80\x99s to this!!!#sobrietyrocks https://t.co/XMZE80pZUU'
1383811558376050696,2021-04-18 15:56:00+00:00,b'Just posted a photo https://t.co/C48JegIzJz'
1383528679800655874,2021-04-17 21:11:56+00:00,b'Just keep swimming!!! https://t.co/2ir6eclzRU'
1380631147818926081,2021-04-09 21:18:11+00:00,b'The picture I never even knew was taken... #obsessed https://t.co/QLd5SutkWg'
1380531110791159809,2021-04-09 14:40:40+00:00,b'Thank you for your service! #Rip https://t.co/uzQTlSTJlz'
1377332908038348800,2021-03-31 18:52:09+00:00,b'Do we like the roots or is it time to dye my hair? \xf0\x9f\xa4\x94 https://t.co/88dwFIOaad'
1362120237945135110,2021-02-17 19:22:26+00:00,b'First time I have worn my hair down in months!!! Thoughts??? \xf0\x9f\x92\x9c https://t.co/KkQgn4ciZC'
1360475083450515456,2021-02-13 06:25:10+00:00,b'Just posted a video https://t.co/zvSao3jpuT'
