twitter_id,date,tweet
1545969170528944128,2022-07-10 03:12:27+00:00,b'OMFGGG Now that\xe2\x80\x99s a Baaaad bitch \xf0\x9f\xa5\xb5\xf0\x9f\x94\xa5\xf0\x9f\x98\x8d @tokyostylez GYMFHO sis #gyho Link in bio https://t.co/Dvd6ustf5P'
1545844296401784832,2022-07-09 18:56:15+00:00,b'Keep the videos coming for #gyho / #gotcha We outside \xf0\x9f\x98\x9d\xf0\x9f\xa4\x98\xf0\x9f\x8f\xbdI\xe2\x80\x99m posting on my page and story all MF day lesssss gooooo https://t.co/U7r5oxgxLX'
1543781174702592001,2022-07-04 02:18:08+00:00,b'Gaaagaaww https://t.co/rnvGxow46H'
1543780395233132544,2022-07-04 02:15:02+00:00,b'RT @PresDeezNutz007: Not Amber Rose with the song of the summer'
1543779218940563456,2022-07-04 02:10:22+00:00,b'RT @ZieleOnly: Can\xe2\x80\x99t stop listening to @DaRealAmberRose song !  \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5'
1541953837736394752,2022-06-29 01:16:57+00:00,b'RT @Laceybug420: When @DaRealAmberRose reposts a video of you dancing to her song #GYHO and you gain 300+ ig followers in 5hrs \xf0\x9f\xa4\xafThanks Muva\xe2\x80\xa6'
1541953769092423680,2022-06-29 01:16:41+00:00,b'RT @Dri_lovee: I just love how @DaRealAmberRose has always been pro ho. And destigmatizing the way in which we associate women who are libe\xe2\x80\xa6'
1541561057025478657,2022-06-27 23:16:11+00:00,b'One thing about me having a rap career you\xe2\x80\x99re gonna see who men really are \xf0\x9f\x98\x82 I saw a grown ass man on YouTube begging people to not watch my video lmaooo! They look at us like property ladies FOH #gyho https://t.co/fYRYjOS5z8'
1541559186508550144,2022-06-27 23:08:45+00:00,b'https://t.co/fYRYjOS5z8 #gyho \xf0\x9f\x8c\x88\xf0\x9f\x8c\x88\xf0\x9f\x8c\x88 https://t.co/y3Vr6nFR2N'
1541145549709012993,2022-06-26 19:45:06+00:00,"b""RT @Savattarius: There is no age limit to get your hoe on.\nAsk your daddy. \xf0\x9f\x98\x8f\n#GYHO\nAmber Rose do your thang!! \xf0\x9f\xa4\x98\xf0\x9f\x8f\xbd If they're not talking abo\xe2\x80\xa6"""
1541145500807614464,2022-06-26 19:44:55+00:00,b'RT @ash13ykiyana: Yo I really like this @DaRealAmberRose song! It\xe2\x80\x99s a hit! #gyho'
1541145452153778176,2022-06-26 19:44:43+00:00,"b'RT @DolceNDeuanna: Nothing, bout to listen to GYHO on repeat until I learn the words'"
1541145060208627712,2022-06-26 19:43:10+00:00,b'RT @fakegrettaj: Wow amber rose new song is a summer bop! #GYHO'
1540430852152143873,2022-06-24 20:25:09+00:00,b'#gyho https://t.co/fYRYjOS5z8 OUT NOW \xf0\x9f\xa4\x98\xf0\x9f\x8f\xbd\xf0\x9f\x98\x9d'
1539817242971410433,2022-06-23 03:46:53+00:00,b'Tmrw Night #GYHO Droppin 9pm pst 12am Est \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x94\xa5 https://t.co/z1yBEJf9XZ'
1525863719430852608,2022-05-15 15:40:34+00:00,b'RT @NotYourBroNFT: Our Roadmap 2.0 visualised \xf0\x9f\x91\x80\xf0\x9f\xa7\xaa\nhttps://t.co/hAi5ZApiGC https://t.co/MGMKOrZbVn'
1518012535835869192,2022-04-23 23:42:46+00:00,b'RT @selenaroyf: $Quint launched like less than 24 hours ago and is already doing wonders with 5000+ holders and listed on @CoinMarketCap. H\xe2\x80\xa6'
1455405682128084999,2021-11-02 05:25:29+00:00,b'HOEloween 70\xe2\x80\x99s Bimbo Killer \xf0\x9f\xa4\x98\xf0\x9f\x8f\xbd\xf0\x9f\x98\x9d https://t.co/tQb9cWdtYJ'
1447287322102353921,2021-10-10 19:46:01+00:00,b'Just posted a photo https://t.co/Fn0yrqOgFp'
1445797888240406540,2021-10-06 17:07:32+00:00,"b""You're invited 2 an exclusive FACEBOOK LIVE AUDIO ROOM w/me @DaRealAmberRose, @TheLizaKoshy and @AvaniGreggOfficial we\xe2\x80\x99re going to talk about what it was like growing up between cultures, Just follow Liza on Facebook @TheLizaKoshy 2 RSVP https://t.co/FzCQRUW1MU"""
1442638317091164164,2021-09-27 23:52:32+00:00,b'Just posted a photo https://t.co/Uqd07EdlfR'
1440716474633502729,2021-09-22 16:35:49+00:00,b'I\xe2\x80\x99ll go first \n1. Loyalty \n2. Personality \n3. Money\n4. Looks https://t.co/REcT0tHFdG'
1440354697336918023,2021-09-21 16:38:14+00:00,b'Blah blah blah \xe2\x80\x9cforehead tattoo\xe2\x80\x9d blah Fuckin blah stfu bitch and enjoy the content \xf0\x9f\x98\x98 https://t.co/aQ9XObWabl'
1439995104656195590,2021-09-20 16:49:21+00:00,b'When you can finally breathe the air of Hoe life again \xf0\x9f\x98\x8d\xf0\x9f\xa5\xb0\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x98\xa9\nWig by @whatwigs \nMakeup by @charismaraye \nHair styled by @iam_whatshername_ https://t.co/lr1aEkXSaM'
1439248700803530763,2021-09-18 15:23:24+00:00,b'Omg!!! @HorrorNights @UniStudios was so fun and scary last night! Sebastian and I had a Blast! \xf0\x9f\x8e\x83\xf0\x9f\x92\x80\xf0\x9f\x91\xbb\xf0\x9f\x98\x88#UniversalHHN https://t.co/Uvsm7Yi4AI'
1434555107358687234,2021-09-05 16:32:44+00:00,"b'The World is a Vampire @ Miami, Florida https://t.co/gEuAPMSzTe'"
1391549079084224519,2021-05-10 00:22:08+00:00,b'Just posted a photo https://t.co/qKOKRSUHXi'
1391474243032989705,2021-05-09 19:24:46+00:00,b'Got em! Happy Muva\xe2\x80\x99s Day Ladies! #HeGonLearnTaday #DogAssBitch #Lol \xf0\x9f\xa5\xb0\xf0\x9f\x91\xb6\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8b\xf0\x9f\x8f\xbc\xe2\x80\x8d\xe2\x99\x80\xef\xb8\x8f https://t.co/swjv5piH1y'
1390866000241954818,2021-05-08 03:07:50+00:00,b'She thick https://t.co/PZsLEOC3Mc'
1390845314077237250,2021-05-08 01:45:38+00:00,"b'I tore my MCL 8 months ago, I had to rest and wear sneakers &amp; shit but now I\xe2\x80\x99m better \xf0\x9f\x98\x8a Ahhh I finally get to be a hoe again! \xf0\x9f\x98\x8dMissed me? Link in bio \xf0\x9f\x92\xa6\xf0\x9f\x98\x98\xf0\x9f\x94\xa5 https://t.co/9htpdcEq31'"
