twitter_id,date,tweet
1546619304891846656,2022-07-11 22:15:51+00:00,b'RT @Chinanws22: \xf0\x9f\xa7\xa7\xd8\xa7\xd9\x84\xd8\xb5\xd9\x8a\xd9\x86: \xd8\xaa\xd8\xad\xd8\xb5\xd9\x84 \xd8\xb9\xd9\x84\xd9\x8a \xd9\x85\xd9\x88\xd8\xa7\xd9\x81\xd9\x82\xd9\x87 57 \xd8\xaf\xd9\x88\xd9\x84\xd9\x87 \xd9\x84\xd9\x84\xd8\xa7\xd9\x86\xd8\xb6\xd9\x85\xd8\xa7\xd9\x85 \xd9\x84\xd8\xa8\xd9\x86\xd9\x83 \xd8\xa7\xd9\x84\xd8\xb5\xd9\x8a\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a \xd8\xb3\xd9\x8a\xd9\x86\xd8\xa7\xd9\x81\xd8\xb3 \xd8\xa7\xd9\x84\xd8\xa8\xd9\x86\xd9\x83 \xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd9\x84\xd9\x8a \xd9\x88\xd9\x87\xd8\xb0\xd9\x87 \xd8\xa7\xd9\x84\xd8\xae\xd8\xb7\xd9\x88\xd9\x87 \xd9\x84\xd9\x87\xd8\xaf\xd9\x85 \xd8\xa7\xd9\x84\xd9\x86\xd8\xb8\xd8\xa7\xd9\x85 \xd8\xa7\xd9\x84\xd9\x85\xd8\xa7\xd9\x84\xd9\x8a \xd8\xa7\xd9\x84\xd9\x82\xd8\xaf\xd9\x8a\xd9\x85 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85 \xd9\x8a\xe2\x80\xa6'
1546456054409711616,2022-07-11 11:27:09+00:00,b'RT @BaselHajJasem: \xd8\xa5\xd9\x86\xd9\x86\xd8\xa7 \xd8\xb9\xd9\x86\xd8\xaf\xd9\x85\xd8\xa7 \xd9\x86\xd8\xb1\xd8\xa8\xd8\xb7 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x81\xd9\x83\xd8\xa7\xd8\xb1 \xd8\xa8\xd8\xa7\xd9\x84\xd8\xa3\xd8\xb4\xd8\xae\xd8\xa7\xd8\xb5\xd8\x8c \xd9\x86\xd8\xad\xd8\xb1\xd9\x85 \xd8\xa3\xd9\x86\xd9\x81\xd8\xb3\xd9\x86\xd8\xa7 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd9\x81\xd9\x83\xd8\xb1\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xac\xd9\x8a\xd8\xaf\xd8\xa9 \xd8\xad\xd9\x8a\xd9\x86 \xd8\xaa\xd8\xa3\xd8\xaa\xd9\x8a \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb6\xd8\xaf\xd8\x8c \xd9\x88\xd9\x86\xd8\xaa\xd9\x88\xd8\xb1\xd8\xb7 \xd9\x81\xd9\x8a \xd8\xa7\xd9\x84\xd9\x81\xd9\x83\xd8\xb1\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb3\xd8\xae\xd9\x8a\xd9\x81\xd8\xa9 \xd8\xb7\xd8\xa7\xd9\x84\xd9\x85\xd8\xa7 \xd8\xac\xd8\xa7\xd8\xa1\xd8\xaa \xd9\x85\xd9\x86\xe2\x80\xa6'
1546434647848112128,2022-07-11 10:02:06+00:00,b'@komainydajal @mustafakamilm \xd8\xa7\xd9\x8a \xd9\x88\xd8\xa7\xd9\x84\xd9\x84\xd9\x87'
1546432981803438081,2022-07-11 09:55:28+00:00,b'\xd9\x87\xd9\x87\xd9\x87\xd9\x87\xd9\x87: \xd9\x8a\xd9\x86\xd8\xa7\xd9\x85\xd9\x88\xd9\x86 \xd9\x81\xd9\x8a \xd8\xad\xd8\xb6\xd9\x86 \xd8\xa3\xd9\x85\xd8\xb1\xd9\x8a\xd9\x83\xd8\xa7\xd8\x8c \xd9\x88\xd8\xaa\xd8\xad\xd9\x85\xd9\x8a\xd9\x87\xd9\x85 \xd8\xa3\xd9\x85\xd8\xb1\xd9\x8a\xd9\x83\xd8\xa7 \xd9\x88\xd8\xaa\xd8\xb1\xd8\xb9\xd8\xa7\xd9\x87\xd9\x85 \xd8\xa3\xd9\x85\xd8\xb1\xd9\x8a\xd9\x83\xd8\xa7 \xd9\x88\xd8\xaa\xd8\xae\xd8\xaa\xd8\xa7\xd8\xb1 \xd9\x84\xd9\x87\xd9\x85 \xd8\xa3\xd9\x85\xd8\xb1\xd9\x8a\xd9\x83\xd8\xa7 \xd8\xad\xd9\x83\xd8\xa7\xd9\x85\xd9\x87\xd9\x85 \xd9\x88\xd8\xa3\xd9\x86\xd8\xb8\xd9\x85\xd8\xaa\xd9\x87\xd9\x85\xd8\x8c\xd9\x88\xd8\xaa\xd9\x81\xd8\xb1\xd8\xb6 \xd8\xb9\xd9\x84\xd9\x8a\xd9\x87\xd9\x85 \xd8\xad\xd8\xaa\xd9\x89 \xd9\x86\xd9\x88\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xaf\xd9\x8a\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a \xd9\x8a\xd8\xaa\xd8\xb9\xd8\xa7\xd8\xb7\xd9\x88\xd9\x86\xd9\x87\xd8\x8c\xd9\x88\xd9\x84\xd8\xa7 \xd9\x8a\xd8\xb3\xd8\xaa\xd8\xb7\xd9\x8a\xd8\xb9\xd9\x88\xd9\x86 \xd8\xa7\xd8\xb3\xd8\xaa\xd8\xae\xd8\xb1\xd8\xa7\xd8\xac \xd8\xab\xd8\xb1\xd9\x88\xd8\xa7\xd8\xaa\xd9\x87\xd9\x85 \xd9\x85\xd9\x86 \xd8\xaf\xd9\x88\xd9\x86 \xd8\xa3\xd9\x85\xd8\xb1\xd9\x8a\xd9\x83\xd8\xa7 \xd9\x88\xd9\x84\xd8\xa7 \xd9\x8a\xd8\xae\xd8\xb7\xd9\x88\xd9\x86 \xd8\xae\xd8\xb7\xd9\x88\xd8\xa9 \xd9\x88\xd8\xa7\xd8\xad\xd8\xaf\xd8\xa9 \xd9\x85\xd9\x86 \xd8\xaf\xd9\x88\xd9\x86 \xd8\xb6\xd9\x88\xd8\xa1 \xd8\xa3\xd8\xae\xd8\xb6\xd8\xb1 \xd8\xa3\xd9\x85\xd8\xb1\xd9\x8a\xd9\x83\xd9\x8a\xd8\x8c \xd8\xab\xd9\x85 \xd9\x82\xd8\xa7\xd9\x84 \xd8\xb4\xd9\x88 \xd9\x82\xd8\xa7\xd9\x84: \xd9\x8a\xd8\xaa\xd9\x87\xd9\x85\xd9\x88\xd9\x86 \xd8\xa7\xd9\x84\xd8\xa2\xd8\xae\xd8\xb1\xd9\x8a\xd9\x86 \xd8\xa8\xd8\xa7\xd9\x84\xd8\xb9\xd9\x85\xd8\xa7\xd9\x84\xd8\xa9 \xd9\x84\xd8\xa3\xd9\x85\xd8\xb1\xd9\x8a\xd9\x83\xd8\xa7.\n\xd8\xb4\xd9\x8f\xd8\xae \xd8\xb9\xd9\x85\xd9\x8a \xd8\xb4\xd9\x8f\xd8\xae'
1546411695194750976,2022-07-11 08:30:53+00:00,b'RT @alkawari4unesco: \xd8\xb2\xd8\xb1\xd8\xaa \xd8\xb3\xd9\x8a\xd8\xb1\xd9\x8a\xd9\x84\xd8\xa7\xd9\x86\xd9\x83\xd8\xa7 \n\xd9\x88\xd8\xae\xd8\xb1\xd8\xac\xd8\xaa \xd8\xa8\xd8\xa7\xd9\x86\xd8\xb7\xd8\xa8\xd8\xa7\xd8\xb9 \xd8\xa3\xd9\x86\xd9\x87\xd8\xa7 \xd8\xb9\xd9\x84\xd9\x89 \xd9\x82\xd8\xaf\xd8\xb1 \xd9\x84\xd8\xa7 \xd8\xa8\xd8\xa3\xd8\xb3 \xd8\xa8\xd9\x87 \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xaf\xd9\x8a\xd9\x85\xd9\x88\xd9\x82\xd8\xb1\xd8\xa7\xd8\xb7\xd9\x8a\xd8\xa9 \xd8\xa3\xd9\x88 \xd9\x87\xd9\x83\xd8\xb0\xd8\xa7 \xd8\xa8\xd8\xaf\xd8\xa7 \xd9\x84\xd9\x8a \n\xd9\x88\xd8\xa8\xd8\xa8\xd9\x86\xd9\x8a\xd8\xa9 \xd8\xaa\xd8\xad\xd8\xaa\xd9\x8a\xd8\xa9 \xd9\x85\xd8\xaa\xd9\x82\xd8\xaf\xd9\x85\xd8\xa9 \xd9\x85\xd9\x82\xd8\xa7\xd8\xb1\xd9\x86\xd8\xa9 \xd8\xa8\xd8\xac\xd9\x8a\xd8\xb1\xd8\xa7\xd9\x86\xd9\x87\xe2\x80\xa6'
1546257709628116992,2022-07-10 22:19:00+00:00,b'\xd9\x84\xd9\x85\xd8\xa7\xd8\xb0\xd8\xa7 \xd8\xa7\xd9\x86\xd9\x87\xd8\xa7\xd8\xb1\xd8\xaa \xd8\xb3\xd9\x8a\xd8\xb1\xd9\x84\xd8\xa7\xd9\x86\xd9\x83\xd8\xa7 \xd9\x88\xd8\xa7\xd9\x86\xd8\xaa\xd9\x81\xd8\xb6 \xd8\xa7\xd9\x84\xd8\xb4\xd8\xb9\xd8\xa8 \xd9\x81\xd9\x8a\xd9\x87\xd8\xa7\xd8\x9f \xd9\x87\xd9\x84 \xd8\xa8\xd8\xb3\xd8\xa8\xd8\xa8 \xd9\x81\xd8\xb4\xd9\x84 \xd8\xa7\xd9\x84\xd9\x82\xd9\x8a\xd8\xa7\xd8\xaf\xd8\xa9 \xd8\xa3\xd9\x85 \xd9\x84\xd8\xa3\xd9\x86 \xd8\xa7\xd9\x84\xd9\x86\xd8\xb8\xd8\xa7\xd9\x85 \xd9\x81\xd9\x8a \xd8\xb3\xd9\x8a\xd8\xb1\xd9\x84\xd8\xa7\xd9\x86\xd9\x83\xd8\xa7 \xd8\xa8\xd8\xa7\xd8\xb9 \xd8\xa7\xd9\x84\xd8\xa8\xd9\x84\xd8\xa7\xd8\xaf \xd9\x84\xd9\x84\xd8\xb5\xd9\x8a\xd9\x86\xd8\x9f'
1546255544318672897,2022-07-10 22:10:24+00:00,b'\xd8\xa5\xd8\xb0\xd8\xa7 \xd9\x83\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xba\xd8\xb1\xd8\xa8 \xd9\x86\xd9\x81\xd8\xb3\xd9\x87 \xd8\xa7\xd9\x84\xd8\xb0\xd9\x8a \xd9\x8a\xd8\xaa\xd8\xad\xd9\x83\xd9\x85 \xd8\xa8\xd8\xa7\xd9\x82\xd8\xaa\xd8\xb5\xd8\xa7\xd8\xaf\xd9\x8a\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85 \xd8\xa8\xd8\xaf\xd8\xa3 \xd9\x8a\xd8\xaa\xd8\xa3\xd8\xab\xd8\xb1 \xd9\x85\xd8\xb9\xd9\x8a\xd8\xb4\xd9\x8a\xd8\xa7\xd9\x8b \xd9\x88\xd8\xa7\xd9\x82\xd8\xaa\xd8\xb5\xd8\xa7\xd8\xaf\xd9\x8a\xd8\xa7\xd9\x8b \xd8\xac\xd8\xb1\xd8\xa7\xd8\xa1 \xd8\xa7\xd9\x84\xd8\xa3\xd8\xb2\xd9\x85\xd8\xa7\xd8\xaa \xd9\x88\xd8\xa7\xd9\x84\xd8\xb5\xd8\xb1\xd8\xa7\xd8\xb9\xd8\xa7\xd8\xaa \xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd9\x84\xd9\x8a\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x85\xd8\xaa\xd8\xb5\xd8\xa7\xd8\xb9\xd8\xaf\xd8\xa9\xd8\x8c \xd9\x81\xd9\x85\xd8\xa7 \xd8\xa8\xd8\xa7\xd9\x84\xd9\x83 \xd8\xa8\xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd9\x84 \xd8\xa7\xd9\x84\xd9\x81\xd8\xa7\xd8\xb4\xd9\x84\xd8\xa9 \xd8\xa3\xd8\xb5\xd9\x84\xd8\xa7\xd9\x8b \xd9\x83\xd8\xa7\xd9\x84\xd8\xb9\xd8\xaf\xd9\x8a\xd8\xaf \xd9\x85\xd9\x86 \xd8\xa7\xd9\x84\xd8\xaf\xd9\x88\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xb1\xd8\xa8\xd9\x8a\xd8\xa9 \xd9\x88\xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85\xd8\xab\xd8\xa7\xd9\x84\xd8\xab\xd9\x8a\xd8\xa9\xd8\x9f \xd9\x88\xd8\xa7\xd8\xb6\xd8\xad \xd8\xaa\xd9\x85\xd8\xa7\xd9\x85\xd8\xa7\xd9\x8b \xd8\xa3\xd9\x86 \xd9\x85\xd9\x88\xd8\xac\xd8\xa9 \xd8\xab\xd9\x88\xd8\xb1\xd8\xa7\xd8\xaa \xd8\xa3\xd8\xae\xd8\xb1\xd9\x89 \xd8\xb3\xd8\xaa\xd8\xac\xd8\xaa\xd8\xa7\xd8\xad \xd9\x87\xd8\xb0\xd9\x87 \xd8\xa7\xd9\x84\xd9\x85\xd8\xb1\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xaf\xd9\x8a\xd8\xaf \xd9\x85\xd9\x86 \xd8\xa8\xd9\x84\xd8\xaf\xd8\xa7\xd9\x86 \xd8\xa7\xd9\x84\xd8\xb9\xd8\xa7\xd9\x84\xd9\x85.\xd8\xb3\xd9\x8a\xd8\xb1\xd9\x84\xd8\xa7\xd9\x86\xd9\x83\xd8\xa7 \xd8\xa3\xd9\x88\xd9\x84 \xd8\xa7\xd9\x84\xd8\xb9\xd9\x86\xd9\x82\xd9\x88\xd8\xaf'
1546253089560223745,2022-07-10 22:00:39+00:00,b'RT @KeNt_977: \xd8\xa7\xd9\x86\xd8\xaa\xd9\x81\xd8\xa7\xd8\xb6\xd8\xa7\xd8\xaa \xd8\xb4\xd8\xb9\xd8\xa8\xd9\x8a\xd8\xa9 \xd9\x82\xd9\x88\xd9\x8a\xd8\xa9 \xd9\x85\xd9\x86 #\xd8\xb3\xd9\x8a\xd8\xb1\xd9\x84\xd8\xa7\xd9\x86\xd9\x83\xd8\xa7 \xd8\xa5\xd9\x84\xd9\x89 \xd9\x83\xd9\x8a\xd9\x86\xd9\x8a\xd8\xa7 \xd8\xa5\xd9\x84\xd9\x89 #\xd8\xba\xd8\xa7\xd9\x86\xd8\xa7 \xd8\xa5\xd9\x84\xd9\x89 \xd9\x85\xd9\x82\xd8\xaf\xd9\x88\xd9\x86\xd9\x8a\xd8\xa7 \xd8\xa5\xd9\x84\xd9\x89 #\xd8\xa7\xd9\x84\xd8\xa3\xd8\xb1\xd8\xac\xd9\x86\xd8\xaa\xd9\x8a\xd9\x86 \xd8\xa5\xd9\x84\xd9\x89 \xd8\xa7\xd9\x84\xd8\xa8\xd8\xb1\xd8\xa7\xd8\xb2\xd9\x8a\xd9\x84 \xd8\xa5\xd9\x84\xd9\x89 \xd8\xa7\xd9\x84\xd8\xa3\xd9\x83\xd9\x88\xd8\xa7\xd8\xaf\xd9\x88\xd8\xb1 .. \xd8\xac\xd8\xa7\xd8\xa6\xd8\xad\xd8\xa9 \xd8\xa7\xd9\x84\xd8\xa5\xd9\x86\xd8\xaa\xd9\x81\xd8\xa7\xd8\xb6\xd8\xa7\xe2\x80\xa6'
1546245027415969794,2022-07-10 21:28:37+00:00,"b'""Saudi officials say they are unlikely to make any human-rights concessions and aren\xe2\x80\x99t willing to abandon an oil-production alliance with Moscow, which the U.S. has blamed in part for high oil prices.""\nWSJ'"
1545529983233392640,2022-07-08 22:07:17+00:00,b'@alshaammari \xd8\xaa\xd8\xb3\xd9\x84\xd9\x84\xd9\x85 \xd8\xaf\xd9\x83\xd8\xaa\xd9\x88\xd8\xb1'
